number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,system_attrs_nsga2:generation,state
0,0.47356579663180565,0.329997927186286,2024-03-10 11:43:55.484388,2024-03-10 11:50:43.449496,0 days 00:06:47.965108,1.2185603279693935e-07,gbtree,0.4425881602044994,0.26956652673099607,2.9591867268264144e-05,depthwise,0.002455458173653765,7,3,260,,,,,0.9659212282253726,0,COMPLETE
1,0.4927203559057506,0.3175034657311525,2024-03-10 11:50:43.451528,2024-03-10 12:23:02.211242,0 days 00:32:18.759714,3.131888175442359e-07,dart,0.5243427035910437,0.13160273309019113,0.001725477700599861,lossguide,0.306581092304489,5,8,300,forest,1.7609482141745643e-05,weighted,0.6791490199836943,0.6117027915913631,0,COMPLETE
2,0.4916873243773109,0.31892704583680276,2024-03-10 12:23:02.211242,2024-03-10 12:30:00.116745,0 days 00:06:57.905503,0.0002446324295458685,gbtree,0.7456112382215541,0.10072465520729167,0.0036657522214688736,lossguide,1.4936938624765045e-07,5,3,280,,,,,0.5442268524224115,0,COMPLETE
3,0.4469863846103827,0.3471572202592669,2024-03-10 12:30:00.116745,2024-03-10 12:31:19.946857,0 days 00:01:19.830112,0.010117178148929493,gbtree,0.32718005062628414,0.1147627194616458,3.141947462318413e-05,depthwise,0.61033016333151,5,5,140,,,,,0.38256011239803467,0,COMPLETE
4,0.300882319513311,0.43906834971225567,2024-03-10 12:31:19.946857,2024-03-10 12:32:35.122416,0 days 00:01:15.175559,3.223298077236374e-05,gbtree,0.36881488839560195,0.031383892487122485,2.0461729306682538e-07,depthwise,8.088018924408681e-07,3,4,140,,,,,0.6651382984769552,0,COMPLETE
5,-0.27940774871155705,0.7811868530380045,2024-03-10 12:32:35.123418,2024-03-10 12:36:52.548464,0 days 00:04:17.425046,0.0003681094085137739,gbtree,0.8498925367238426,0.9006616559235398,4.998174003771143e-06,depthwise,4.579704739544412e-07,5,5,140,,,,,0.6649532838189225,0,COMPLETE
6,0.3233786225460423,0.42394251697715485,2024-03-10 12:36:52.549467,2024-03-10 12:38:34.458831,0 days 00:01:41.909364,3.328917767370189e-05,gbtree,0.22901867717933266,0.01177683824214609,0.026686056550420573,depthwise,2.0098831923255267e-06,5,7,180,,,,,0.6739580889594402,0,COMPLETE
7,0.484978262787137,0.3230501361439622,2024-03-10 12:38:34.458831,2024-03-10 13:13:09.827947,0 days 00:34:35.369116,0.0026879646327932698,dart,0.6161149208574119,0.03976776927959324,1.1525713577976892e-06,lossguide,2.6540820587398357e-07,5,3,300,forest,5.340526493672292e-08,weighted,4.784655229287771e-07,0.9287609988464638,0,COMPLETE
8,0.48277193551504816,0.3250396376055147,2024-03-10 13:13:09.828949,2024-03-10 13:24:50.849280,0 days 00:11:41.020331,0.004474666404733346,gbtree,0.9369910364319811,0.02060420005231228,0.00016700075758326158,depthwise,1.945054602261792e-05,7,10,240,,,,,0.7441133213364473,0,COMPLETE
9,0.42442227155370293,0.3594809729741211,2024-03-10 13:24:50.850283,2024-03-10 13:32:53.832352,0 days 00:08:02.982069,2.2362097461268574e-07,dart,0.7131941306123497,0.24533072632013897,0.020870939330491802,depthwise,0.2950629214627464,7,8,120,tree,5.396318867230564e-05,weighted,1.4370698444118267e-05,0.5011279564661805,0,COMPLETE
10,0.42186259352435707,0.36296807889270954,2024-03-10 13:32:53.833354,2024-03-10 13:38:07.951188,0 days 00:05:14.117834,0.027322934766147982,gbtree,0.5331094619526457,0.020234164251974718,3.169822319728597e-06,lossguide,2.1491453916479383e-05,5,2,240,,,,,0.8797238569883976,0,COMPLETE
11,0.2926049098548972,0.43889216370347317,2024-03-10 13:38:07.952191,2024-03-10 14:01:38.320234,0 days 00:23:30.368043,8.854648034303561e-05,dart,0.5986522956237007,0.4210676332232093,6.781108719473577e-07,depthwise,0.031152065406585886,7,7,240,forest,1.4177502015703357e-08,uniform,7.292560756057493e-06,0.5922864160423719,0,COMPLETE
12,0.323936966051951,0.42041128891034,2024-03-10 14:01:38.322044,2024-03-10 14:02:37.416068,0 days 00:00:59.094024,0.00580462981889908,gbtree,0.26936034202267634,0.319198630176276,0.009000305022746857,lossguide,8.030759608098266e-08,3,6,220,,,,,0.32650873200839015,0,COMPLETE
13,-0.2721626148782599,0.7740749400925211,2024-03-10 14:02:37.417070,2024-03-10 14:03:13.022598,0 days 00:00:35.605528,1.937993250914331e-05,gbtree,0.20605386738669715,0.5658580675035368,2.220157918131713e-08,depthwise,0.0019696731189281745,3,3,180,,,,,0.2519843050533137,0,COMPLETE
14,0.5099617806446083,0.30827378381430415,2024-03-10 14:03:13.023601,2024-03-10 14:13:17.152776,0 days 00:10:04.129175,0.04501698171957631,dart,0.8539224721333569,0.11520937164594354,2.5811342139244302e-06,depthwise,0.0022308407902446505,7,9,120,forest,1.5891754495288953e-05,weighted,2.6537410278495365e-05,0.8789065773521354,0,COMPLETE
15,-1.0671570848113803,1.2704505977527993,2024-03-10 14:13:17.153778,2024-03-10 14:25:24.653213,0 days 00:12:07.499435,9.066782617911794e-06,dart,0.5803456010847048,0.4435363951111301,0.5081614060189388,lossguide,2.726207929714491e-07,7,7,180,tree,0.00023716634337324097,uniform,0.011010576795265285,0.2156471006683229,0,COMPLETE
16,0.43532425016652976,0.354617676013644,2024-03-10 14:25:24.653213,2024-03-10 14:31:36.891226,0 days 00:06:12.238013,0.06371459306816445,gbtree,0.4829578361449519,0.01879132960198436,9.292078133117711e-08,lossguide,0.009322414344032859,5,4,300,,,,,0.966144271687867,0,COMPLETE
17,0.42764117329470414,0.35949722953910107,2024-03-10 14:31:36.891226,2024-03-10 14:37:55.156914,0 days 00:06:18.265688,6.745157132392514e-07,gbtree,0.9481176953381618,0.02688526401432733,0.0002907302450725163,lossguide,1.0966078218804538e-05,5,3,200,,,,,0.578547815302328,0,COMPLETE
18,0.42428302626311787,0.36007953685263433,2024-03-10 14:37:55.157916,2024-03-10 14:40:39.769185,0 days 00:02:44.611269,0.7391588408847102,gbtree,0.9691155288197404,0.37391816517920035,0.15783960213167392,depthwise,0.0006550991041369071,3,10,140,,,,,0.6249740123260032,0,COMPLETE
19,0.4412546518125941,0.3496900129959628,2024-03-10 14:40:39.769185,2024-03-10 14:46:20.469101,0 days 00:05:40.699916,0.05383786237646283,gbtree,0.4065357689810224,0.23535482145363557,0.05708209793089185,lossguide,0.0003266148023884961,7,5,300,,,,,0.5632789134405152,0,COMPLETE
20,0.4577789004969109,0.3408381852508423,2024-03-10 14:46:20.470104,2024-03-10 14:56:57.359290,0 days 00:10:36.889186,0.25694766262701807,dart,0.9585034906113379,0.05923316937566872,5.276687977623346e-05,lossguide,0.0009113573202946645,5,6,140,tree,3.0509069123153366e-07,uniform,1.3134223350568532e-07,0.6956901620459037,0,COMPLETE
21,0.4918937985515653,0.31859000541063903,2024-03-10 14:56:57.359290,2024-03-10 15:13:34.992803,0 days 00:16:37.633513,2.9850466430827112e-05,dart,0.25698804977739836,0.18548779688252395,0.0036522100518037344,lossguide,2.60746851168921e-08,5,3,220,forest,7.891917066525303e-07,weighted,0.003326116912730986,0.8874361744174744,0,COMPLETE
22,0.1568586024152608,0.5270072935618966,2024-03-10 15:13:35.000809,2024-03-10 15:33:25.943523,0 days 00:19:50.942714,9.968299197020071e-08,dart,0.9826338794828706,0.15943496552805317,1.8507948929496044e-08,depthwise,4.657772492308396e-06,3,7,300,tree,0.4960359818073557,weighted,1.3608297871351285e-08,0.324085982503477,0,COMPLETE
23,0.2226162150445637,0.48659542647245385,2024-03-10 15:33:25.943523,2024-03-10 15:40:49.743793,0 days 00:07:23.800270,0.00016180017860253806,dart,0.25025332394948774,0.07773841474045175,8.483116595824079e-08,lossguide,0.002193313471623206,5,10,160,tree,0.32408450141468803,weighted,2.3342294740539503e-07,0.7331863725823324,0,COMPLETE
24,0.38009980252153863,0.38865642672213785,2024-03-10 15:40:49.743793,2024-03-10 15:44:57.752768,0 days 00:04:08.008975,0.0029256075373113627,gbtree,0.8247446804541902,0.017282594681437214,1.2741142491025885e-07,lossguide,2.557925364668216e-08,5,9,260,,,,,0.2688304995483799,0,COMPLETE
25,0.21586561882523733,0.4883195531276151,2024-03-10 15:44:57.753770,2024-03-10 15:48:54.747028,0 days 00:03:56.993258,0.14218382734863122,gbtree,0.5902540852675862,0.6408353624163442,6.530958810649798e-08,depthwise,5.9776732809363365e-06,5,10,180,,,,,0.7223719079345432,0,COMPLETE
26,0.33282331682327404,0.41794796380945015,2024-03-10 15:48:54.748027,2024-03-10 16:14:47.045986,0 days 00:25:52.297959,0.006875300796056665,dart,0.33472425037662334,0.010086561138079451,0.9962829800887658,depthwise,6.556233407288579e-08,5,4,280,forest,4.516617773156669e-06,uniform,0.0054819537325978395,0.2639768489865943,0,COMPLETE
27,0.428445982268472,0.35900398592060634,2024-03-10 16:14:47.045986,2024-03-10 16:18:00.671390,0 days 00:03:13.625404,1.3309135411293995e-05,gbtree,0.7518325540148165,0.13481931626676646,2.518736852922155e-05,lossguide,0.0002377544860522833,3,9,180,,,,,0.9125247331020236,0,COMPLETE
28,0.49551280731852715,0.31697572383828304,2024-03-10 16:18:00.671390,2024-03-10 16:20:00.595226,0 days 00:01:59.923836,0.45370463292692126,gbtree,0.3124831189836508,0.14316249081359564,0.016409454528734727,depthwise,0.0010178677058855484,5,2,160,,,,,0.7054960816591664,0,COMPLETE
29,0.46281094889335905,0.33733850274548605,2024-03-10 16:20:00.596207,2024-03-10 16:23:40.082478,0 days 00:03:39.486271,0.17461987766704168,gbtree,0.4001514208234145,0.2710827408738642,0.043688983626531556,lossguide,6.839291170888804e-08,7,5,160,,,,,0.8187383565971695,0,COMPLETE
30,-0.4350701566907288,0.8870155872181126,2024-03-10 16:23:40.083480,2024-03-10 16:29:12.784825,0 days 00:05:32.701345,0.014890985505703419,gbtree,0.48657863722981287,0.5898326030488943,1.550855286717694e-08,depthwise,0.006981854716500914,7,4,300,,,,,0.4223567419842863,0,COMPLETE
31,0.37693113044179516,0.39173959432775424,2024-03-10 16:29:12.784825,2024-03-10 16:30:11.587560,0 days 00:00:58.802735,2.1598482507157113e-08,gbtree,0.35211135373360486,0.09912955233795816,0.008395664199619802,lossguide,8.467768708140524e-05,3,9,120,,,,,0.6604423925607259,0,COMPLETE
32,0.3909267460808764,0.38215650392334044,2024-03-10 16:30:11.588564,2024-03-10 16:33:57.500928,0 days 00:03:45.912364,2.979405307487311e-07,gbtree,0.9166802676891896,0.030248844300544482,0.0036500976928503896,depthwise,8.289757786713208e-07,5,6,120,,,,,0.611900862551682,0,COMPLETE
33,0.4460565858710016,0.34720032155185193,2024-03-10 16:33:57.508931,2024-03-10 16:42:42.504213,0 days 00:08:44.995282,0.009841253942185718,dart,0.5533833093355944,0.1336132108687906,0.009884742975264397,depthwise,9.925338141959429e-05,7,4,140,tree,1.2842192905636334e-07,weighted,0.0026049134006868833,0.3390660919790179,0,COMPLETE
34,0.47404983141260654,0.3300724516017596,2024-03-10 16:42:42.504213,2024-03-10 16:46:28.261817,0 days 00:03:45.757604,1.0949270641120365e-08,gbtree,0.3099325626003102,0.019621623128522978,1.1372443950599989e-07,depthwise,9.126048041319004e-07,7,2,280,,,,,0.4468415334311627,0,COMPLETE
35,0.3975632802489815,0.37892530953632586,2024-03-10 16:46:28.261817,2024-03-10 16:53:27.386112,0 days 00:06:59.124295,0.016416089370779787,dart,0.31876058498170345,0.12319953211349169,0.002252084848621666,depthwise,3.280532965131683e-06,3,8,140,tree,0.0073887346839668615,uniform,5.0579340664792e-07,0.9284710063775932,0,COMPLETE
36,0.022539732290589098,0.6122127395631096,2024-03-10 16:53:27.387618,2024-03-10 16:58:51.875483,0 days 00:05:24.487865,0.00013304395108282245,dart,0.6553357385100204,0.04318322203966541,2.078614796436453e-06,lossguide,1.366584431945659e-06,3,9,160,tree,0.6276020036590971,uniform,7.624462744271944e-05,0.6918146808205798,0,COMPLETE
37,0.48137372651038624,0.3247156562021632,2024-03-10 16:58:51.876486,2024-03-10 17:12:47.660692,0 days 00:13:55.784206,0.0074508735104472906,dart,0.2363401328259802,0.06841258813753241,0.028169897444773263,depthwise,1.4096660824882792e-08,7,7,200,tree,1.3509060032048286e-07,uniform,0.6893640150510609,0.3470651392530642,0,COMPLETE
38,0.07691539788553454,0.5707563341233143,2024-03-10 17:12:47.661694,2024-03-10 17:14:18.100205,0 days 00:01:30.438511,9.363120380823014e-06,gbtree,0.45077371515882414,0.7548785578605365,2.0585324507320025e-06,depthwise,0.08763400402826363,3,5,160,,,,,0.5683507307206097,0,COMPLETE
39,0.4770793250437892,0.3281950404980875,2024-03-10 17:14:18.101206,2024-03-10 17:23:03.881347,0 days 00:08:45.780141,4.178013943530893e-08,dart,0.38118386532550724,0.1699723766920952,0.023577831026445315,lossguide,5.026063547032722e-07,7,3,140,tree,0.10448225918589991,weighted,3.560893618283783e-07,0.9003895349181392,0,COMPLETE
40,0.43258121485343465,0.3532130776270105,2024-03-10 17:23:03.882351,2024-03-10 17:27:34.844021,0 days 00:04:30.961670,0.001194764797941608,gbtree,0.8734363122290967,0.29249302482319,3.6753845646815016e-05,lossguide,2.9280511987955115e-05,3,5,240,,,,,0.761122380942677,0,COMPLETE
41,0.37871304157071684,0.38737691051025847,2024-03-10 17:27:34.844021,2024-03-10 17:36:56.519000,0 days 00:09:21.674979,0.00019551814420811102,dart,0.8374820661033608,0.4580368077581512,4.141325203602336e-07,lossguide,6.044853522677888e-05,7,6,120,forest,0.0002395690927330304,weighted,0.005476232543201211,0.8452421269776489,0,COMPLETE
42,0.5285733386821703,0.29615905034831924,2024-03-10 17:36:56.520002,2024-03-10 17:47:37.806110,0 days 00:10:41.286108,5.93730311415354e-06,gbtree,0.6248749851671829,0.052549108029866044,0.0002444885877092647,lossguide,2.5974197107479505e-06,7,4,280,,,,,0.9602005396295465,0,COMPLETE
43,-1.0401423841422264,1.2399637287327796,2024-03-10 17:47:37.807112,2024-03-10 18:20:25.693953,0 days 00:32:47.886841,8.556500168574471e-07,dart,0.739621473463852,0.702384172671767,0.4088946721073844,lossguide,0.0003220063751671001,5,10,300,forest,1.0464464186898904e-07,weighted,2.2801833920372467e-06,0.39261981272184365,0,COMPLETE
44,0.2754885475234234,0.4543775219073197,2024-03-10 18:20:25.695959,2024-03-10 18:24:25.503477,0 days 00:03:59.807518,0.06081418466849345,gbtree,0.7127388107015358,0.013737715410056334,0.001480541291810882,depthwise,2.3965046310967058e-08,3,4,240,,,,,0.8083758684439686,0,COMPLETE
45,-0.3688642305629834,0.834713148700849,2024-03-10 18:24:25.504480,2024-03-10 18:25:29.867659,0 days 00:01:04.363179,0.029431005910165384,gbtree,0.367302682862971,0.9528230362020507,0.00042326916958620233,depthwise,1.256918164981688e-08,3,3,160,,,,,0.5256152966150087,0,COMPLETE
46,0.5216253750484471,0.2995964590658785,2024-03-10 18:25:29.868661,2024-03-10 18:47:45.964090,0 days 00:22:16.095429,0.021207974900125836,dart,0.47904109187098876,0.13718569938529082,3.468700636233885e-05,lossguide,9.669041020219502e-05,7,8,240,forest,5.253882329096309e-05,uniform,0.004052685222691956,0.9852420655157923,0,COMPLETE
47,0.4307140134311969,0.35783370000848186,2024-03-10 18:47:45.965078,2024-03-10 18:52:52.313966,0 days 00:05:06.348888,0.02358566819456954,dart,0.5978694856040783,0.10186566681169983,0.0009448404365025824,depthwise,9.643872349707158e-08,7,2,100,tree,2.3500851995191313e-07,weighted,0.22544517441166412,0.2692817355079603,0,COMPLETE
48,0.35634350396057074,0.4009703001111909,2024-03-10 18:52:52.315974,2024-03-10 18:58:04.280801,0 days 00:05:11.964827,5.803134417451587e-07,gbtree,0.8969286784439512,0.3500159014621514,0.17042160323246097,lossguide,8.582223009204053e-08,5,9,180,,,,,0.5322514062056005,0,COMPLETE
